"조합 이름","편의점","주요 상품","보조 상품(들)","키워드 / 상황","카테고리","원문 URL (출처)"
"육개장 + 핫바","공통","육개장 사발면 (컵)","핫바 (소시지)","간단, 든든한, 야식, 가성비, 자취생, PC방 야식, 국룰 조합, 출출할 때, 간단하게 고기, 실패 없는, 5분 완성, 든든함 추가","라면/분식 조합","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"틈새라면 + 카레","공통","틈새라면 (봉지)","3분 카레 (즉석), (계란 후라이)","이색조합, 스트레스, 매운맛 (극강), 든든한, SNS 인증, 매운 카레 라면, 화끈하게 땀 빼기, 밥 말아 먹기 좋은, 퓨전 요리, 자극적인 맛, 해장 (매운맛)","라면/분식 조합","https://www.10000recipe.com/recipe/6888496"
"불닭 쌈무","공통","불닭볶음면 (컵)","쌈무 (팩), (삼겹살 or 핫바)","매운맛 중화, 상큼한, 이색조합, SNS 인증, 아삭한 식감, 매운맛 잡기, 고기랑 같이, 맵단짠(새콤), 끝없이 들어가는, 맵찔이 추천","라면/분식 조합","https://m.blog.naver.com/PostView.naver?blogId=jjangs00&logNo=222384992984"
"무파마 소고기 라면","공통","무파마 (봉지)","소고기 (불고기용/팩), 대파","든든한, 해장, 국물, 고기, 보양식, 소고기 국밥 맛, 깊고 진한, 몸보신, 기력 없을 때, 든든한 한 끼, 밥 말아 먹기 필수, 어른의 맛","라면/분식 조합","https://www.10000recipe.com/recipe/6938221"
"왕뚜껑 치즈계란찜","공통","왕뚜껑 (컵)","날계란 (2알), 스트링 치즈","이색조합, 든든한, 고소한, 자취생, 맵찔이, 라면과 계란찜, 부드러운, 맵지 않은 라면, 든든한 간식, 고소함 폭발, 전자레인지 요리","라면/분식 조합","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"짜파게티 + 핫바","공통","짜파게티 (컵)","핫바 (의성마늘 등), (계란 후라이)","든든한, 고기, 단짠단짠, 자취생, 간단, 고기 토핑, 씹는 맛 추가, 든든한 한 끼, 실패 없는 조합, 짭짤하고 고소한, 주말 점심","라면/분식 조합","https://m.blog.naver.com/PostView.naver?blogId=jjangs00&logNo=222384992984"
"참깨라면 + 밥","공통","참깨라면 (컵)","즉석밥, (볶음김치)","든든한, 해장, 국물, 고소한, 국밥, 국밥 뺨치는, 밥 말아 먹기 필수, 고소하고 얼큰한, 계란 블럭, 실패 없는, 든든한 야식","라면/분식 조합","https://ottogi.co.kr/recipe/view.asp?page=2&seq=250"
"핫바 치즈 스틱","공통","핫바 (아무거나)","스트링 치즈","간단, 술안주(맥주), 야식, 아이들 간식, 치즈, 단짠단짠, 3분 완성, 짭짤하고 고소한, 출출할 때, 간단한 안주, 치즈 늘어나는","간식/디저트","https://www.10000recipe.com/recipe/6848777"
"감자칩 + 요거트","공통","감자칩 (포카칩 오리지널)","플레인 요거트 (무가당)","이색조합, 단짠단짠 (새콤), 다이어트 (간식), 간단, 사워크림 맛, 상큼하고 짭짤한, 죄책감 덜어주는, 가벼운 맥주 안주, 입 심심할 때","간식/디저트","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"전자레인지 스모어","공통","다이제 (or 참 크래커)","초콜릿 (가나/ABC), 마시멜로","디저트, 달달한, 초간단, SNS 인증, 당충전, 기분 꿀꿀할 때, 스트레스, 달달한 위로, 캠핑 느낌, 1분 완성, 찐득하고 달콤한, 커피랑","간식/디저트","https://www.10000recipe.com/recipe/6883279"
"쿠키 아이스크림","공통","초코칩 쿠키 (봉지)","바닐라 아이스크림 (컵)","디저트, 달달한, 초간단, 아이들 간식, 당충전, 실패 없는 조합, 3분 완성, 간단 디저트, 손님 접대용 (간편), 바삭하고 부드러운","간식/디저트","https://www.10000recipe.com/recipe/6873199"
"시네마 팝콘","공통","팝콘 (오리지널/솔트)","M&M's 초콜릿","간식, 단짠단짠, 영화 볼 때, 초간단, 영화관 팝콘 맛, 짭짤하고 달콤한, 넷플릭스 필수, 중독성 있는, 입 심심할 때, 1분 완성","간식/디저트","https://m.blog.naver.com/PostView.naver?blogId=khr3691&logNo=222543936082"
"전자레인지 나초치즈","공통","나초 (봉지)","스트링 치즈 (or 슬라이스), (살사소스)","술안주(맥주), 야식, 초간단, 치즈, 단짠단짠, 영화 볼 때, 5분 완성 안주, 짭짤하고 고소한, 치즈 듬뿍, 친구랑 한잔, 살사 소스 곁들여","술안주/야식","https://www.10000recipe.com/recipe/6938927"
"딸바 토스트","공통","식빵","딸기잼, 바나나","아침대용, 간식, 달달한, 초간단, 아이들 간식, 실패 없는, 누구나 아는 맛, 상큼하고 달달한, 간단한 아침, 브런치 느낌, 빵순이","간식/디저트","https://www.10000recipe.com/recipe/6905597"
"젤리 에이드","공통","젤리 (하리보 등), 얼음컵","사이다 (캔)","음료, 이색음료, SNS 인증, 청량, 홈카페, 비주얼, 색감 예쁜, 씹는 맛, 아이들 파티, 상큼 톡톡, 여름 음료, 간단하게 기분 내기","간식/디저트","https://m.blog.naver.com/PostView.naver?blogId=eueu01/222384661413"
"시리얼 초코바","공통","시리얼 (작은 컵), 마시멜로","버터, 초콜릿 (ABC)","간식, 달달한, 초간단, 든든한, 당충전, 에너지바 만들기, 아이들 간식, 쫀득하고 바삭한, 기분 꿀꿀할 때, 스트레스, 초콜릿 활용","간식/디저트","https://www.10000recipe.com/recipe/6938933"
"추억의 피카츄","공통","피카츄 돈까스 (냉장/냉동)","떡꼬치 소스 (or 케첩), (치즈)","간식, 추억, 단짠단짠, 아이들 간식, 간단, 추억의 맛, 학교 앞 분식, 새콤달콤, 든든한 간식, 전자레인지 1분","간식/디저트","https://www.10000recipe.com/recipe/6979707"
