조합 이름,편의점,주요 상품,보조 상품(들),키워드 / 상황,카테고리,원문 URL (출처)
입 터짐 방지 세트,CU,무설탕 껌,"견과류, 말린 과일, 탄산수, 다시마","스트레스, 불안, 입이 심심, 다이어트, 습관, 절제, 건강",간식/디저트,[AI 생성]
시험 끝난 날 자유 세트,GS25,아이스크림,"젤리, 과자, 탄산 음료, 친구","시험 끝, 해방, 자유, 스트레스 해소, 즐거움, 행복, 친구, 밤샘",간식/디저트,[AI 생성]
혼밥 업그레이드 세트,세븐일레븐,도시락,"계란국, 김치, 김, 요구르트, 물","혼밥, 점심, 저녁, 간단, 든든, 가성비, 퀄리티, 식사",간편식,[AI 생성]
달콤 살벌 괴식 세트,공통,불닭볶음면,"초코파이, 우유, 치즈, 아이스크림","괴식, 도전, 호기심, 매운맛, 단맛, 묘함, 엽기, 챌린지",라면/분식 조합,[AI 생성]
출근 전 에너지 충전 세트,CU,샌드위치,"커피, 오렌지 주스, 요거트, 바나나","출근, 아침, 피곤, 활력, 에너지, 든든, 상쾌, 활기찬 하루",간편식,[AI 생성]
스트레스 해소 디저트 세트,GS25,마카롱,"아메리카노, 케이크, 푸딩, 탄산수","스트레스, 해소, 달콤, 행복, 디저트, 기분 전환, 위로, 선물",간식/디저트,[AI 생성]
비오는날 칼국수 땡기는 날 세트,세븐일레븐,컵 칼국수,"김치, 삼각김밥, 김, 막걸리","비, 칼국수, 따뜻함, 혼밥, 가성비, 추억, 향수, 빗소리",라면/분식 조합,[AI 생성]
이냉치냉 아이스크림 세트,공통,아이스크림 (겨울),"핫팩, 담요, 핫초코, 군고구마","겨울, 추위, 아이스크림, 이냉치냉, 낭만, 유쾌, 특별함, 색다름",간식/디저트,[AI 생성]
바다 보면서 힐링 세트,CU,새우깡,"캔맥주, 커피, 돗자리, 블루투스 스피커","바다, 힐링, 여행, 여유, 파도, 노을, 감성, 추억",술안주/야식,[AI 생성]
혼자 떠나는 기차 여행 세트,GS25,김밥,"삶은 계란, 사이다, 오징어, 견과류","기차, 여행, 혼자, 풍경, 여유, 낭만, 설렘, 추억",간편식,[AI 생성]
새벽 알바 퇴근 세트,세븐일레븐,따뜻한 커피,"핫도그, 빵, 우유, 초콜릿","새벽, 알바, 퇴근, 피곤, 따뜻함, 위로, 휴식, 꿀잠",간편식,[AI 생성]
게임 폐인 야식 세트,공통,컵라면,"에너지 드링크, 과자, 초콜릿, 콜라","게임, 밤샘, 야식, 폐인, 집중, 승리, 흥분, 즐거움",라면/분식 조합,[AI 생성]
등산 후 꿀맛 세트,CU,막걸리,"두부김치, 파전, 컵라면, 물","등산, 운동, 땀, 성취감, 시원함, 자연, 건강, 힐링",술안주/야식,[AI 생성]
장마철 집콕 세트,GS25,팝콘,"탄산음료, 라면, 과자, 만화책","장마, 집, 휴식, 영화, 게임, 독서, 편안함, 무료함",간식/디저트,[AI 생성]
풋풋한 첫사랑 세트,세븐일레븐,사탕,"초콜릿, 꽃, 편지, 곰인형","사랑, 설렘, 두근거림, 행복, 풋풋, 첫사랑, 핑크, 추억",간식/디저트,[AI 생성]
야근 필수템 세트,공통,커피,"에너지 드링크, 초콜릿, 견과류, 핫팩","야근, 피곤, 졸림, 집중, 스트레스, 동료, 위로, 힘내",간식/디저트,[AI 생성]
우울할 때 눈물 콧물 세트,CU,매운 라면,"초코 우유, 아이스크림, 닭발, 쿨피스","우울, 슬픔, 눈물, 매운맛, 달콤함, 위로, 해소, 공감",라면/분식 조합,[AI 생성]
혼자 즐기는 호캉스 세트,GS25,와인,"치즈, 크래커, 과일, 캔들","호캉스, 휴식, 혼자, 힐링, 고급, 분위기, 여유, 행복",술안주/야식,[AI 생성]
추억의 불량식품 세트,세븐일레븐,아폴로,"쫀드기, 꾀돌이, 별사탕, 콜라","추억, 어린 시절, 불량식품, 향수, 친구, 웃음, 간식, 즐거움",간식/디저트,[AI 생성]
애인과 싸운 날 화해 세트,공통,케이크,"꽃다발, 와인, 편지, 초콜릿","싸움, 화해, 사랑, 미안함, 용서, 행복, 달콤함, 로맨틱",간식/디저트,[AI 생성]
무더위 날리는 공포 영화 세트,CU,팝콘,"콜라, 오징어, 담요, 손전등","공포, 더위, 오싹함, 긴장, 스릴, 여름, 영화, 밤",간식/디저트,[AI 생성]
명절 귀성길 필수 세트,GS25,오징어,"육포, 땅콩, 껌, 물","명절, 귀성길, 고향, 가족, 교통 체증, 지루함, 간식, 휴식",간식/디저트,[AI 생성]
크리스마스 홈파티 세트,세븐일레븐,케이크,"와인, 치즈, 샴페인, 캔들","크리스마스, 파티, 행복, 사랑, 가족, 친구, 따뜻함, 선물",간식/디저트,[AI 생성]
종강 기념 파티 세트,공통,맥주,"피자, 치킨, 과자, 친구들","종강, 자유, 해방, 즐거움, 파티, 행복, 밤샘, 추억",술안주/야식,[AI 생성]
새해 다짐 건강 세트,CU,샐러드,"견과류, 요거트, 물, 아몬드 브리즈","새해, 다짐, 건강, 운동, 식단, 자기 관리, 목표, 시작",간편식,[AI 생성]
혼자 보는 야경 세트,GS25,따뜻한 커피,"담요, 핫팩, 과자, 캔들","야경, 혼자, 감성, 휴식, 힐링, 생각, 여유, 밤",간식/디저트,[AI 생성]
매운맛에 정신 놓고 싶을 때 세트,세븐일레븐,불닭볶음면,"캡사이신 소스, 청양고추, 우유, 쿨피스","매운맛, 스트레스, 정신, 자극, 도전, 고통, 해소, 눈물",라면/분식 조합,[AI 생성]
풋살 후 갈증 해소 세트,공통,이온 음료,"스포츠 타월, 물, 에너지바, 소금 사탕","운동, 풋살, 갈증, 수분, 에너지, 회복, 시원함, 팀워크",음료/간식,[AI 생성]
고백 성공 기원 세트,CU,페레로 로쉐,"장미꽃 한송이, 손편지, 향수, 행운의 부적","고백, 사랑, 성공, 설렘, 긴장, 두근거림, 행운, 용기",간식/디저트,[AI 생성]
주말 늦잠 브런치 세트,GS25,베이글,"크림 치즈, 커피, 오렌지 주스, 샐러드","주말, 늦잠, 브런치, 여유, 행복, 휴식, 맛, 든든",간편식,[AI 생성]
친구 집들이 선물 세트,세븐일레븐,휴지,"세제, 수세미, 캔들, 와인","집들이, 선물, 축하, 우정, 센스, 실용, 행복, 시작",생필품/선물,[AI 생성]
퇴사 기념 홀가분 세트,공통,샴페인,"케이크, 풍선, 꽃다발, 퇴사 기념 선물","퇴사, 홀가분, 자유, 행복, 새로운 시작, 축하, 해방, 기쁨",술안주/야식,[AI 생성]
비 오는 날 창가 감성 세트,CU,핫초코,"마시멜로우, 책, 담요, 라디오","비, 감성, 창가, 따뜻함, 휴식, 위로, 생각, 분위기",음료/간식,[AI 생성]
면접 합격 기원 세트,GS25,찹쌀떡,"엿, 에너지 드링크, 합격 기원 부적, 커피","면접, 합격, 긴장, 행운, 용기, 성공, 응원, 간절함",간식/디저트,[AI 생성]
늦은 밤 운동 후 단백질 충전 세트,세븐일레븐,닭가슴살,"프로틴 음료, 삶은 계란, 견과류, 바나나","운동, 늦은 밤, 단백질, 근육, 건강, 회복, 든든함, 자기관리",간편식,[AI 생성]
월급날 FLEX 세트,공통,수입 맥주 (4캔),"육포, 나쵸, 살사 소스","월급날, 스트레스 해소, 혼술, 영화 감상, 소소한 행복, 퇴근 후 만찬",술안주/야식,[AI 증강]
비 오는 날 파전 세트,GS25,부침개 Mix,"막걸리, 김치, 계란","비 오는 날, 파전, 막걸리, 집콕, 넷플릭스, 꿀꿀한 날씨, 낭만",간편조리/안주,[AI 증강]
야근 퇴치 세트,세븐일레븐,에너지 드링크,"핫식스, 견과류, 초콜릿바","야근, 졸음, 집중력 향상, 피로, 당 충전, 으쌰으쌰, 밤샘",음료/간식,[AI 증강]
캠핑 감성 BBQ 세트,CU,숯불 닭꼬치,"소시지, 햇반, 김치, 쌈장","캠핑, 바베큐, 밤, 불멍, 여행, 힐링, 자연, 추억",간편조리/바베큐,[AI 증강]
시험 D-Day 응원 세트,공통,찹쌀떡,"커피, 초콜릿, 비타민","시험, 합격 기원, 긴장, 응원, 격려, 집중력, 뇌 활성화",간식/응원,[AI 증강]
혼자 영화관 세트,GS25,팝콘,"콜라, 오징어, 핫도그","혼영, 주말, 심야 영화, 팝콘, 콜라, 힐링, 나만의 시간",스낵/음료,[AI 증강]
숙취 해소 끝판왕,세븐일레븐,헛개차,"해장라면, 이온음료, 계란","숙취, 다음 날, 괴로움, 속 쓰림, 갈증, 숙취 해소, 아침",음료/라면,[AI 증강]
눈 오는 날의 낭만,CU,군고구마,"호빵, 따뜻한 우유, 귤","눈, 겨울, 따뜻함, 낭만, 추억, 아늑함, 달콤함",겨울 간식,[AI 증강]
매운맛 마니아 도전 세트,공통,불닭볶음면,"매운 스낵, 쿨피스, 삼각김밥","매운맛, 도전, 극한, 스트레스 해소, 땀, 중독, 화끈",라면/스낵,[AI 증강]
단짠단짠 무한루프,GS25,카라멜 팝콘,"프레첼, 콜라, 짭짤한 스낵","단짠, 무한루프, 간식, 영화, 주말, 멈출 수 없어, 유혹",스낵/음료,[AI 증강]
커피 & 디저트 타임,세븐일레븐,아메리카노,"조각 케이크, 마카롱, 쿠키","오후, 나른함, 휴식, 당 충전, 카페, 여유, 행복",음료/디저트,[AI 증강]
출근길 에너지 충전,CU,샌드위치,"바나나 우유, 에너지바, 견과류","출근길, 아침, 바쁨, 에너지, 활력, 든든함, 상쾌함",간편식/음료,[AI 증강]
나만의 힐링 아이스크림,공통,아이스크림 (바),"커피믹스, 에스프레소, 견과류","힐링, 당 충전, 스트레스 해소, 아이스크림, 나만의 레시피, 달콤함",아이스크림/커피,[AI 증강]
심야 라면 정식,GS25,라면,"삼각김밥, 김치, 계란","야식, 심야, 배고픔, 유혹, 죄책감, 맛있으면 0칼로리, 행복",라면/간편식,[AI 증강]
탄산 & 스낵 파티,세븐일레븐,탄산 음료,"감자칩, 팝콘, 초콜릿","파티, 친구, 수다, 즐거움, 청량함, 간식, 에너지",음료/스낵,[AI 증강]
운동 후 단백질 충전,CU,닭가슴살,"프로틴 음료, 삶은 계란, 견과류","운동, 건강, 단백질, 근육, 다이어트, 활력, 자기 관리",건강/음료,[AI 증강]
달콤한 휴식 시간,공통,초콜릿,"커피, 쿠키, 사탕","휴식, 당 충전, 스트레스 해소, 달콤함, 행복, 여유, 나만의 시간",간식/음료,[AI 증강]
늦은 밤 혼술 세트,GS25,소주,"닭꼬치, 족발, 라면","혼술, 외로움, 위로, 답답함, 스트레스, 솔로, 감성",주류/안주,[AI 증강]
아침을 깨우는 상쾌함,세븐일레븐,주스,"요거트, 빵, 과일","아침, 상쾌함, 활력, 건강, 가벼움, 시작, 긍정",음료/간편식,[AI 증강]
비상 식량 세트,CU,컵라면,"참치캔, 햇반, 김","비상, 재난, 대비, 생존, 든든함, 안심, 간편",비상식량,[AI 증강]
피크닉 도시락 세트,공통,김밥,"과일, 음료수, 과자","피크닉, 소풍, 나들이, 데이트, 봄, 힐링, 행복",간편식,[AI 증강]
퇴근 후 맥주 한 잔,GS25,맥주,"땅콩, 오징어, 육포","퇴근, 휴식, 위로, 스트레스 해소, 혼술, 자유, 편안함",주류/안주,[AI 증강]
겨울밤 따뜻한 간식,세븐일레븐,호빵,"우유, 귤, 고구마","겨울, 따뜻함, 추억, 포근함, 행복, 간식, 가족",겨울 간식,[AI 증강]
이냉치냉 아이스 디저트,CU,아이스크림,"얼음컵, 탄산수, 냉동 과일","겨울, 추위, 이냉치냉, 아이스, 스트레스 해소, 달콤함, 짜릿함",아이스크림,[AI 증강]
꿀잠 예약 세트,공통,따뜻한 우유,"꿀, 캐모마일 차, 쿠키","불면증, 편안함, 릴렉스, 휴식, 밤, 꿀잠, 숙면",음료/간식,[AI 증강]
나홀로 불금 만끽,GS25,와인,"치즈, 크래커, 올리브","불금, 혼술, 분위기, 힐링, 나만의 시간, 여유, 행복",주류/안주,[AI 증강]
간단한 아침 식사,세븐일레븐,토스트,"우유, 바나나, 시리얼","아침, 바쁨, 간편함, 든든함, 활력, 건강, 상쾌함",간편식/음료,[AI 증강]
영화관 부럽지 않은 스낵,CU,팝콘,"콜라, 나쵸, 핫도그","영화, 주말, 간식, 즐거움, 편안함, 집, 여유",스낵/음료,[AI 증강]
우울할 땐 당 충전,공통,초콜릿 케이크,"아이스크림, 초콜릿 우유, 마카롱","우울, 위로, 달콤함, 행복, 기분 전환, 나만의 시간, 힐링",디저트/음료,[AI 증강]
게임 폐인 야식,GS25,컵라면,"에너지 드링크, 삼각김밥, 핫바","게임, 밤샘, 야식, 배고픔, 집중력, 에너지, 즐거움",간편식/음료,[AI 증강]
매콤한 스트레스 해소,세븐일레븐,불닭볶음면,"쿨피스, 치즈, 삼각김밥","스트레스, 매운맛, 해소, 화끈함, 땀, 중독, 쾌감",라면/음료,[AI 증강]
혼자 떠나는 기차 여행,CU,삶은 계란,"사이다, 오징어, 김밥","여행, 기차, 혼자, 자유, 낭만, 추억, 설렘",간편식/음료,[AI 증강]
시험기간 밤샘 공부,공통,커피,"에너지바, 초콜릿, 비타민","시험, 공부, 밤샘, 집중력, 에너지, 졸음, 합격",음료/간식,[AI 증강]
소소한 사치 디저트,GS25,수입 과자,"커피, 아이스크림, 마카롱","사치, 행복, 달콤함, 나만의 시간, 휴식, 기분 전환, 만족",디저트/음료,[AI 증강]
입맛 없을 때 꿀조합,세븐일레븐,새콤달콤 비빔면,"만두, 김치, 계란","입맛 없음, 식욕, 자극, 매콤, 새콤, 입맛 돋움, 간편",라면/간편식,[AI 증강]
봄맞이 상큼한 피크닉,CU,샌드위치,"탄산수, 과일, 샐러드","봄, 피크닉, 상큼, 힐링, 자연, 데이트, 행복",간편식/음료,[AI 증강]
뜻밖의 고퀄리티 한상차림,공통,"반찬류 (장조림, 젓갈)","햇반, 김, 계란후라이","자취생, 집밥, 퀄리티, 혼밥, 간편, 든든, 가성비",간편식/반찬,[AI 증강]
여름밤의 해변,GS25,아이스 아메리카노,"맥주, 쥐포, 아이스크림","여름, 밤, 해변, 바다, 낭만, 시원함, 휴식",음료/간식,[AI 증강]
매콤달콤 닭강정,세븐일레븐,닭강정,"맥주, 콜라, 감자튀김","주말, 간식, 영화, 맥주, 즐거움, 매콤, 달콤",간편식/음료,[AI 증강]
스트레스 해소 이색 조합,CU,불닭볶음면,"아이스크림, 탄산수, 치즈","스트레스, 이색, 매운맛, 달콤, 시원함, 도전, 쾌감",라면/간식,[AI 증강]
장거리 운전 필수템,공통,커피,"껌, 에너지바, 견과류","운전, 졸음, 집중력, 피로, 에너지, 안전, 상쾌함",음료/간식,[AI 증강]
달콤 쌉싸름한 위로,GS25,다크 초콜릿,"커피, 견과류, 우유","위로, 우울, 달콤, 쌉싸름, 휴식, 나만의 시간, 힐링",디저트/음료,[AI 증강]
가을밤 캠프파이어,세븐일레븐,마시멜로우,"숯불구이, 맥주, 따뜻한 차","가을, 캠핑, 밤, 불멍, 낭만, 추억, 행복",간식/음료,[AI 증강]
비오는날 갬성 한잔,CU,사케,"오뎅, 반건조 오징어, 꼬치","비, 추적추적, 갬성, 따뜻함, 술, 혼술, 센치함",주류/안주,[AI 증강]
괴식 도전! 악마의 맛,공통,바닐라 아이스크림,"불닭 소스, 커피 가루, 와사비","괴식, 도전, 악마, 매운맛, 단맛, 쓴맛, 혼돈",기타,[AI 증강]
파워 직장인 점심,GS25,도시락,"컵라면(미니), 커피, 김치","점심, 직장인, 든든함, 워라벨, 가성비, 쉼",간편식,[AI 증강]
힙스터의 아침,세븐일레븐,수제 맥주,"베이글, 크림치즈, 선글라스","아침, 주말, 힙스터, 여유, 감성, 해방, 나만의 세계",음료/간편식,[AI 증강]
공부하다 지칠때,CU,젤리,"탄산음료, 눈안대, 이어플러그","공부, 집중, 당보충, 리프레쉬, 휴식, 힐링",간식/휴식,[AI 증강]
월급날 FLEX 세트,GS25,수입 맥주 (6캔),"나쵸, 살사 소스, 육포","월급날, 자축, 스트레스 해소, 퇴근 후, 혼술, 영화 감상, 소소한 행복",술안주/야식,[AI 증강]
시험 망삘 세트,세븐일레븐,"매운 스낵 (마라, 불닭)","쿨피스, 아이스크림, 에너지 드링크","시험, 망함, 자포자기, 분노, 스트레스, 매운맛, 달콤함, 각성",간식/음료 조합,[AI 증강]
비 오는 날 파전 세트,CU,"부침가루, 해물 모듬","막걸리, 간장, 청양고추","비 오는 날, 집콕, 파전, 막걸리, 낭만, 따뜻함, ASMR",간편 조리,[AI 증강]
숙취 해소 끝판왕 세트,공통,헛개수,"해장 라면 (컵), 스포츠 음료, 삶은 계란","숙취, 해장, 괴로움, 갈증, 속 쓰림, 아침, 출근, 회식 다음 날",음료/간식 조합,[AI 증강]
솔로 크리스마스 세트,GS25,케이크 (조각),"샴페인 (미니), 치킨 (순살), 영화 티켓 (온라인)","크리스마스, 솔로, 외로움, 영화 감상, 달콤함, 혼자 파티, 위로",디저트/간식 조합,[AI 증강]
캠핑 감성 BBQ 세트,CU,숯불 직화 구이,"소시지, 햇반, 김치, 쌈장","캠핑, 바베큐, 자연, 여행, 저녁, 분위기, 힐링",간편 조리,[AI 증강]
눈 오는 날 호빵 세트,세븐일레븐,"호빵 (단팥, 야채)","따뜻한 우유, 꿀","눈 오는 날, 따뜻함, 겨울, 간식, 추억, 행복, 포근함",간식/음료 조합,[AI 증강]
다이어트 폭망 세트,공통,라면 (봉지),"삼각김밥, 튀김, 탄산 음료","다이어트, 실패, 유혹, 폭식, 후회, 스트레스, 야식",라면/분식 조합,[AI 증강]
늦은 밤 야근 세트,GS25,커피 (대용량),"초콜릿, 견과류, 에너지바","야근, 피로, 졸림, 집중력, 간식, 에너지 충전, 힘내자",음료/간식 조합,[AI 증강]
혼자 떠나는 기차 여행 세트,CU,김밥,"삶은 계란, 사이다, 오징어","기차 여행, 혼자, 설렘, 풍경, 여유, 간식, 추억",간편식/음료 조합,[AI 증강]
고백 성공 기원 세트,세븐일레븐,페레로 로쉐,"장미꽃 (조화), 편지, 따뜻한 음료","고백, 설렘, 긴장, 성공 기원, 선물, 응원, 두근거림",선물/음료 조합,[AI 증강]
입맛 없을 때 세트,공통,요구르트,"시리얼, 꿀, 견과류","입맛 없음, 간단, 아침, 간식, 건강, 달콤, 상큼",간편식/음료 조합,[AI 증강]
우울한 날 극복 세트,GS25,아이스크림 (벤앤제리스),"영화 DVD, 담요, 따뜻한 차","우울, 위로, 달콤, 영화, 집콕, 휴식, 극복",디저트/취미 조합,[AI 증강]
혼자 즐기는 불금 세트,CU,피자 (냉동),"맥주, 콜라, 감자칩","불금, 혼자, 자유, 영화, 게임, 야식, 행복",술안주/야식,[AI 증강]
새벽 감성 폭발 세트,세븐일레븐,컵라면 (해물),"캔 커피, 이어폰, 다이어리","새벽, 감성, 외로움, 음악, 글쓰기, 생각, 라면",라면/취미 조합,[AI 증강]
커플 기념일 축하 세트,공통,와인 (미니),"치즈, 크래커, 초콜릿","기념일, 커플, 축하, 로맨틱, 선물, 행복, 사랑",선물/술안주 조합,[AI 증강]
미세먼지 심한 날 세트,GS25,생수,"목캔디, 마스크, 비타민","미세먼지, 건강, 목 관리, 상쾌, 청결, 보호, 필수템",건강/음료 조합,[AI 증강]
졸음운전 방지 세트,CU,에너지 드링크,"껌, 커피, 얼음컵","졸음 운전, 안전, 각성, 집중력, 장거리 운전, 필수템",음료/간식 조합,[AI 증강]
퇴근 후 힐링 세트,세븐일레븐,족발 (미니),"맥주, 탄산수, 견과류","퇴근, 힐링, 휴식, 혼술, 야식, 편안함, 소확행",술안주/야식,[AI 증강]
과제 폭탄 데이 세트,공통,핫식스,"초콜릿바, 믹스커피, 밤샘각","과제, 시험, 밤샘, 카페인, 당충전, 학업, 대학생",음료/간식 조합,[AI 증강]
매운맛 마니아 도전 세트,GS25,불마왕 볶음면,"쿨피스, 치즈, 삼각김밥(참치마요)","매운맛, 도전, 극한, 스트레스 해소, 땀, 중독, 불닭",라면/분식 조합,[AI 증강]
갑작스런 손님 방문 세트,CU,모듬 튀김,"탄산 음료, 맥주, 소스","손님, 급만남, 환대, 간편, 야식, 맥주, 수다",술안주/야식,[AI 증강]
혼영 필수템 세트,세븐일레븐,팝콘,"콜라, 나쵸, 핫도그","혼영, 영화, 간식, 팝콘, 넷플릭스, 주말, 힐링",간식/음료 조합,[AI 증강]
추억의 분식 세트,공통,떡볶이,"튀김, 순대, 쿨피스","분식, 추억, 학창 시절, 친구, 떡볶이, 맛있다, 매콤",라면/분식 조합,[AI 증강]
장마철 집콕 세트,GS25,컵라면,"김치, 햇반, 계란","장마, 집콕, 눅눅, 라면, 따뜻, 편안, 무료함",라면/간편식 조합,[AI 증강]
게임 폐인 양성 세트,CU,에너지 드링크,"과자, 젤리, 초콜릿","게임, 폐인, 밤샘, 에너지, 집중, 간식, 승리",간식/음료 조합,[AI 증강]
늦잠 방지 알람 세트,세븐일레븐,커피,"에너지바, 물, 껌","늦잠, 지각, 아침, 각성, 정신, 출근, 긴장",음료/간식 조합,[AI 증강]
썸 깨지는 괴식 세트,공통,바나나 우유,"김치, 라면 스프, 단무지","괴식, 호기심, 도전, 실패, 썸, 망함, 비추천",음료/괴식 조합,[AI 증강]
스트레스 해소 펀치 세트,GS25,매운 닭발,"쿨피스, 주먹밥, 계란찜","스트레스, 매운맛, 땀, 분노, 해소, 화끈, 야식",술안주/야식,[AI 증강]
피부 미용 응원 세트,CU,석류 콜라겐 젤리,"비타민 워터, 견과류, 샐러드","피부, 미용, 건강, 관리, 촉촉, 아름다움, 응원",건강/간식 조합,[AI 증강]
영화관 부럽지 않은 세트,세븐일레븐,팝콘,"핫도그, 콜라, 버터 오징어","영화, 간식, 팝콘, 넷플릭스, 주말, 혼영, 힐링",간식/음료 조합,[AI 증강]
등산 후 꿀맛 세트,공통,막걸리,"두부김치, 삶은 계란, 오이","등산, 운동, 땀, 갈증, 휴식, 막걸리, 시원",술안주/야식,[AI 증강]
해외여행 그리움 세트,GS25,수입 맥주,"수입 과자, 라면, 컵밥","여행, 그리움, 추억, 향수, 아쉬움, 대리만족, 휴가",술안주/간식 조합,[AI 증강]
피크닉 감성 충전 세트,CU,샌드위치,"과일, 탄산수, 돗자리","피크닉, 데이트, 날씨, 공원, 설렘, 행복, 사진",간편식/음료 조합,[AI 증강]
혼자 떠나는 낚시 세트,세븐일레븐,참치 김밥,"보온병 커피, 육포, 견과류","낚시, 혼자, 자연, 여유, 기다림, 생각, 간식",간편식/음료 조합,[AI 증강]
숙취 운전 절대 금지 세트,공통,물,"헛개차, 이온 음료, 해장국","숙취, 운전, 위험, 안전, 책임, 건강, 대중교통",음료/간편식 조합,[AI 증강]
커플 게임 데이트 세트,GS25,스낵,"탄산, 초콜릿, 젤리","게임, 데이트, 커플, 즐거움, 간식, 승리, 행복",간식/음료 조합,[AI 증강]
독서 삼매경 세트,CU,아메리카노,"쿠키, 견과류, 책","독서, 휴식, 지식, 마음, 평화, 집중, 커피",음료/취미 조합,[AI 증강]
무더위 탈출 세트,세븐일레븐,아이스크림,"탄산수, 부채, 선풍기","여름, 더위, 시원, 탈출, 휴식, 바다, 피서",간식/기타 조합,[AI 증강]
밤도깨비 야시장 세트,공통,맥주,"닭꼬치, 츄러스, 핫바","밤, 야시장, 서울, 맛집, 데이트, 즐거움, 분위기",술안주/야식,[AI 증강]
단짠 끝판왕 세트,GS25,카라멜 팝콘,"소금 버터, 콜라, 프레첼","단짠, 중독, 영화 감상, 주말, 간식, 무한 흡입, 스트레스 해소",간식/음료 조합,[AI 증강]
심야 영화 감상 세트,CU,나쵸,"맥주, 팝콘, 핫도그","심야, 영화, 혼자, 집, 편안함, 간식, 감성",술안주/간식 조합,[AI 증강]
화이트데이 급 데이트 세트,세븐일레븐,사탕,"초콜릿, 와인, 꽃","화이트데이, 급 데이트, 설렘, 로맨틱, 선물, 사랑, 달콤함",선물/술 조합,[AI 증강]
미래가 불확실할 때 세트,공통,아이스 아메리카노,"에너지바, 견과류, 젤리","불안, 초조, 불확실, 미래, 위로, 격려, 힘내자",음료/간식 조합,[AI 증강]
혼자 코인 노래방 세트,GS25,탄산 음료,"사탕, 초콜릿, 물","혼자, 노래방, 스트레스 해소, 신남, 즐거움, 에너지, 자유",음료/간식 조합,[AI 증강]
택배 기다리는 세트,CU,과자,"탄산 음료, 커피, 젤리","기다림, 설렘, 기대, 초조, 택배, 시간 때우기, 무료함",간식/음료 조합,[AI 증강]
심야 드라이브 세트,세븐일레븐,커피,"핫바, 에너지바, 껌","드라이브, 야경, 혼자, 자유, 힐링, 스트레스 해소, 밤",간식/음료 조합,[AI 증강]
악마의 유혹,GS25,마라볶음면,"매운 치즈 소세지, 불닭 삼각김밥","극도로 매운맛, 스트레스 폭발, 속 쓰림 주의, 매운맛 챌린지, 땀샘 폭발, 잠 깨는 맛, 핵불닭 마니아",라면/분식 조합,[AI 증강]
혼술족 만찬,CU,닭강정,"수입맥주 (4캔), 팝콘, 땅콩","혼자 영화 볼 때, 주말 저녁, 퇴근 후, 나만의 시간, 맥주 안주, 야식, 드라마 정주행",술안주/야식,[AI 증강]
상큼 달콤 디저트,세븐일레븐,요거트 아이스크림,"딸기맛 젤리, 샤인머스캣, 미니 마카롱","기분 전환, 우울할 때, 당 충전, 상큼함 폭발, 디저트 타임, 여자친구 선물, 인스타 감성",디저트,[AI 증강]
든든한 아침 식사,공통,에그 토스트,"바나나 우유, 견과류바","바쁜 아침, 등굣길, 출근 전, 간단한 식사, 든든함, 활기찬 하루 시작, 에너지 충전",간편식사,[AI 증강]
시험 기간 필수템,GS25,커피 (에너지 드링크),"초콜릿, 졸음 방지 껌, 비타민","밤샘 공부, 시험 D-DAY, 집중력 향상, 뇌 활성화, 잠 깨기, 카페인 충전, 벼락치기",음료/간식,[AI 증강]
비 오는 날의 위로,CU,해물파전,"막걸리, 김치, 젓가락","비 오는 날, 센치한 날, 따뜻한 음식, 한국 전통, 어른의 맛, 혼술, 우울한 날",술안주/야식,[AI 증강]
캠핑 파이어 세트,공통,숯불 닭꼬치,"구운 감자, 마시멜로우, 탄산음료","캠핑, 글램핑, 바베큐, 불멍, 자연 속에서, 추억 만들기, 밤, 낭만",간식/구이,[AI 증강]
월급날 FLEX,세븐일레븐,프리미엄 도시락,"탄산 와인, 고급 디저트, 수입 과자","월급날, FLEX, 나를 위한 선물, 고생했어, 특별한 날, 기분 전환, 스트레스 해소",간편식사,[AI 증강]
매콤달콤 떡볶이 파티,GS25,자이언트 떡볶이,"참치마요 삼각김밥, 치즈, 쿨피스","친구들과, 수다, 매콤한, 분식, 주말, 넷플릭스, 땀",라면/분식 조합,[AI 증강]
눈 오는 날의 낭만,CU,"호빵 (단팥, 야채)","따뜻한 우유, 군고구마","눈 오는 날, 따뜻함, 겨울, 낭만, 포근함, 추억, 집콕",간식,[AI 증강]
숙취 해소 끝판왕,공통,헛개차,"해장 라면, 아이스크림, 스포츠 드링크","숙취, 다음날, 괴로움, 간 보호, 속 달래기, 갈증 해소, 회식 다음날",음료/라면,[AI 증강]
나만의 작은 사치,세븐일레븐,수제 맥주,"육포, 올리브, 치즈","퇴근 후, 혼술, 분위기, 여유, 주말, 나를 위한 선물, 작은 행복",술안주/야식,[AI 증강]
초간단 자취 요리,GS25,스파게티 컵라면,"소세지, 슬라이스 치즈","자취생, 귀찮음, 간편, 한 끼 식사, 가성비, 5분 완성, 배고픔",라면/간편식사,[AI 증강]
피크닉 필수템,CU,김밥,"탄산수, 과일 컵, 삶은 계란","소풍, 나들이, 봄, 벚꽃, 햇살, 공원, 데이트",간편식사,[AI 증강]
달콤한 휴식 시간,공통,아이스 아메리카노,"마카롱, 쿠키","오후, 나른함, 졸림, 당 충전, 카페인, 휴식, 힐링",음료/디저트,[AI 증강]
